Vds,Vgs,Ids,W,L,T
0.1,-20.0,1.502e-13,20,5,25
0.1,-19.8,1.502e-13,20,5,25
0.1,-19.6,1.502e-13,20,5,25
0.1,-19.4,1.502e-13,20,5,25
0.1,-19.2,1.502e-13,20,5,25
0.1,-19.0,1.502e-13,20,5,25
0.1,-18.8,1.502e-13,20,5,25
0.1,-18.6,1.502e-13,20,5,25
0.1,-18.4,1.502e-13,20,5,25
0.1,-18.2,1.502e-13,20,5,25
0.1,-18.0,1.502e-13,20,5,25
0.1,-17.8,1.502e-13,20,5,25
0.1,-17.6,1.502e-13,20,5,25
0.1,-17.4,1.502e-13,20,5,25
0.1,-17.2,1.502e-13,20,5,25
0.1,-17.0,1.502e-13,20,5,25
0.1,-16.8,1.502e-13,20,5,25
0.1,-16.6,1.502e-13,20,5,25
0.1,-16.4,1.502e-13,20,5,25
0.1,-16.2,1.502e-13,20,5,25
0.1,-16.0,1.502e-13,20,5,25
0.1,-15.8,1.502e-13,20,5,25
0.1,-15.6,1.502e-13,20,5,25
0.1,-15.4,1.502e-13,20,5,25
0.1,-15.2,1.502e-13,20,5,25
0.1,-15.0,1.502e-13,20,5,25
0.1,-14.8,1.502e-13,20,5,25
0.1,-14.6,1.502e-13,20,5,25
0.1,-14.4,1.502e-13,20,5,25
0.1,-14.2,1.502e-13,20,5,25
0.1,-14.0,1.502e-13,20,5,25
0.1,-13.8,1.502e-13,20,5,25
0.1,-13.6,1.502e-13,20,5,25
0.1,-13.4,1.502e-13,20,5,25
0.1,-13.2,1.502e-13,20,5,25
0.1,-13.0,1.502e-13,20,5,25
0.1,-12.8,1.502e-13,20,5,25
0.1,-12.6,1.502e-13,20,5,25
0.1,-12.4,1.502e-13,20,5,25
0.1,-12.2,1.502e-13,20,5,25
0.1,-12.0,1.502e-13,20,5,25
0.1,-11.8,1.502e-13,20,5,25
0.1,-11.6,1.502e-13,20,5,25
0.1,-11.4,1.502e-13,20,5,25
0.1,-11.2,1.502e-13,20,5,25
0.1,-11.0,1.502e-13,20,5,25
0.1,-10.8,1.502e-13,20,5,25
0.1,-10.6,1.502e-13,20,5,25
0.1,-10.4,1.502e-13,20,5,25
0.1,-10.2,1.502e-13,20,5,25
0.1,-10.0,1.502e-13,20,5,25
0.1,-9.8,1.502e-13,20,5,25
0.1,-9.6,1.502e-13,20,5,25
0.1,-9.4,1.502e-13,20,5,25
0.1,-9.2,1.502e-13,20,5,25
0.1,-9.0,1.502e-13,20,5,25
0.1,-8.8,1.502e-13,20,5,25
0.1,-8.6,1.502e-13,20,5,25
0.1,-8.4,1.502e-13,20,5,25
0.1,-8.2,1.502e-13,20,5,25
0.1,-8.0,1.502e-13,20,5,25
0.1,-7.8,1.502e-13,20,5,25
0.1,-7.6,1.502e-13,20,5,25
0.1,-7.4,1.502e-13,20,5,25
0.1,-7.2,1.502e-13,20,5,25
0.1,-7.0,1.502e-13,20,5,25
0.1,-6.8,1.502e-13,20,5,25
0.1,-6.6,1.502e-13,20,5,25
0.1,-6.4,1.502e-13,20,5,25
0.1,-6.2,1.502e-13,20,5,25
0.1,-6.0,1.502e-13,20,5,25
0.1,-5.8,1.502e-13,20,5,25
0.1,-5.6,1.502e-13,20,5,25
0.1,-5.4,1.502e-13,20,5,25
0.1,-5.2,1.502e-13,20,5,25
0.1,-5.0,1.502e-13,20,5,25
0.1,-4.8,1.502e-13,20,5,25
0.1,-4.6,1.502e-13,20,5,25
0.1,-4.4,1.502e-13,20,5,25
0.1,-4.2,1.502e-13,20,5,25
0.1,-4.0,1.502e-13,20,5,25
0.1,-3.8,1.502e-13,20,5,25
0.1,-3.6,1.502e-13,20,5,25
0.1,-3.4,1.502e-13,20,5,25
0.1,-3.2,1.502e-13,20,5,25
0.1,-3.0,1.502e-13,20,5,25
0.1,-2.8,1.502e-13,20,5,25
0.1,-2.6,1.502e-13,20,5,25
0.1,-2.4,1.502e-13,20,5,25
0.1,-2.2,1.502e-13,20,5,25
0.1,-2.0,1.502e-13,20,5,25
0.1,-1.8,1.502e-13,20,5,25
0.1,-1.6,1.502e-13,20,5,25
0.1,-1.4,1.502e-13,20,5,25
0.1,-1.2,1.502e-13,20,5,25
0.1,-1.0,1.5021e-13,20,5,25
0.1,-0.8,1.5027e-13,20,5,25
0.1,-0.6,1.5147e-13,20,5,25
0.1,-0.4,1.7222e-13,20,5,25
0.1,-0.2,5.3341e-13,20,5,25
0.1,-3.7581e-14,6.8225e-12,20,5,25
