Vds,Vgs,Ids,W,L,T
0.1,-20.0,8.9232e-12,35,5,80
0.1,-19.8,8.9232e-12,35,5,80
0.1,-19.6,8.9232e-12,35,5,80
0.1,-19.4,8.9232e-12,35,5,80
0.1,-19.2,8.9232e-12,35,5,80
0.1,-19.0,8.9232e-12,35,5,80
0.1,-18.8,8.9232e-12,35,5,80
0.1,-18.6,8.9232e-12,35,5,80
0.1,-18.4,8.9232e-12,35,5,80
0.1,-18.2,8.9232e-12,35,5,80
0.1,-18.0,8.9232e-12,35,5,80
0.1,-17.8,8.9232e-12,35,5,80
0.1,-17.6,8.9232e-12,35,5,80
0.1,-17.4,8.9232e-12,35,5,80
0.1,-17.2,8.9232e-12,35,5,80
0.1,-17.0,8.9232e-12,35,5,80
0.1,-16.8,8.9232e-12,35,5,80
0.1,-16.6,8.9232e-12,35,5,80
0.1,-16.4,8.9232e-12,35,5,80
0.1,-16.2,8.9232e-12,35,5,80
0.1,-16.0,8.9232e-12,35,5,80
0.1,-15.8,8.9232e-12,35,5,80
0.1,-15.6,8.9232e-12,35,5,80
0.1,-15.4,8.9232e-12,35,5,80
0.1,-15.2,8.9232e-12,35,5,80
0.1,-15.0,8.9232e-12,35,5,80
0.1,-14.8,8.9232e-12,35,5,80
0.1,-14.6,8.9232e-12,35,5,80
0.1,-14.4,8.9232e-12,35,5,80
0.1,-14.2,8.9232e-12,35,5,80
0.1,-14.0,8.9232e-12,35,5,80
0.1,-13.8,8.9232e-12,35,5,80
0.1,-13.6,8.9232e-12,35,5,80
0.1,-13.4,8.9232e-12,35,5,80
0.1,-13.2,8.9232e-12,35,5,80
0.1,-13.0,8.9232e-12,35,5,80
0.1,-12.8,8.9232e-12,35,5,80
0.1,-12.6,8.9232e-12,35,5,80
0.1,-12.4,8.9232e-12,35,5,80
0.1,-12.2,8.9232e-12,35,5,80
0.1,-12.0,8.9232e-12,35,5,80
0.1,-11.8,8.9232e-12,35,5,80
0.1,-11.6,8.9232e-12,35,5,80
0.1,-11.4,8.9232e-12,35,5,80
0.1,-11.2,8.9232e-12,35,5,80
0.1,-11.0,8.9232e-12,35,5,80
0.1,-10.8,8.9232e-12,35,5,80
0.1,-10.6,8.9232e-12,35,5,80
0.1,-10.4,8.9232e-12,35,5,80
0.1,-10.2,8.9232e-12,35,5,80
0.1,-10.0,8.9232e-12,35,5,80
0.1,-9.8,8.9232e-12,35,5,80
0.1,-9.6,8.9232e-12,35,5,80
0.1,-9.4,8.9232e-12,35,5,80
0.1,-9.2,8.9232e-12,35,5,80
0.1,-9.0,8.9232e-12,35,5,80
0.1,-8.8,8.9232e-12,35,5,80
0.1,-8.6,8.9232e-12,35,5,80
0.1,-8.4,8.9232e-12,35,5,80
0.1,-8.2,8.9232e-12,35,5,80
0.1,-8.0,8.9232e-12,35,5,80
0.1,-7.8,8.9232e-12,35,5,80
0.1,-7.6,8.9232e-12,35,5,80
0.1,-7.4,8.9232e-12,35,5,80
0.1,-7.2,8.9232e-12,35,5,80
0.1,-7.0,8.9232e-12,35,5,80
0.1,-6.8,8.9232e-12,35,5,80
0.1,-6.6,8.9232e-12,35,5,80
0.1,-6.4,8.9232e-12,35,5,80
0.1,-6.2,8.9232e-12,35,5,80
0.1,-6.0,8.9232e-12,35,5,80
0.1,-5.8,8.9232e-12,35,5,80
0.1,-5.6,8.9232e-12,35,5,80
0.1,-5.4,8.9232e-12,35,5,80
0.1,-5.2,8.9232e-12,35,5,80
0.1,-5.0,8.9232e-12,35,5,80
0.1,-4.8,8.9232e-12,35,5,80
0.1,-4.6,8.9232e-12,35,5,80
0.1,-4.4,8.9232e-12,35,5,80
0.1,-4.2,8.9232e-12,35,5,80
0.1,-4.0,8.9232e-12,35,5,80
0.1,-3.8,8.9232e-12,35,5,80
0.1,-3.6,8.9232e-12,35,5,80
0.1,-3.4,8.9232e-12,35,5,80
0.1,-3.2,8.9232e-12,35,5,80
0.1,-3.0,8.9232e-12,35,5,80
0.1,-2.8,8.9232e-12,35,5,80
0.1,-2.6,8.9232e-12,35,5,80
0.1,-2.4,8.9232e-12,35,5,80
0.1,-2.2,8.9232e-12,35,5,80
0.1,-2.0,8.9232e-12,35,5,80
0.1,-1.8,8.9232e-12,35,5,80
0.1,-1.6,8.9232e-12,35,5,80
0.1,-1.4,8.9232e-12,35,5,80
0.1,-1.2,8.9232e-12,35,5,80
