Vds,Vgs,Ids,W,L,T
0.1,-20.0,3.2986e-14,35,5,0
0.1,-19.8,3.2986e-14,35,5,0
0.1,-19.6,3.2986e-14,35,5,0
0.1,-19.4,3.2986e-14,35,5,0
0.1,-19.2,3.2986e-14,35,5,0
0.1,-19.0,3.2986e-14,35,5,0
0.1,-18.8,3.2986e-14,35,5,0
0.1,-18.6,3.2986e-14,35,5,0
0.1,-18.4,3.2986e-14,35,5,0
0.1,-18.2,3.2986e-14,35,5,0
0.1,-18.0,3.2986e-14,35,5,0
0.1,-17.8,3.2986e-14,35,5,0
0.1,-17.6,3.2986e-14,35,5,0
0.1,-17.4,3.2986e-14,35,5,0
0.1,-17.2,3.2986e-14,35,5,0
0.1,-17.0,3.2986e-14,35,5,0
0.1,-16.8,3.2986e-14,35,5,0
0.1,-16.6,3.2986e-14,35,5,0
0.1,-16.4,3.2986e-14,35,5,0
0.1,-16.2,3.2986e-14,35,5,0
0.1,-16.0,3.2986e-14,35,5,0
0.1,-15.8,3.2986e-14,35,5,0
0.1,-15.6,3.2986e-14,35,5,0
0.1,-15.4,3.2986e-14,35,5,0
0.1,-15.2,3.2986e-14,35,5,0
0.1,-15.0,3.2986e-14,35,5,0
0.1,-14.8,3.2986e-14,35,5,0
0.1,-14.6,3.2986e-14,35,5,0
0.1,-14.4,3.2986e-14,35,5,0
0.1,-14.2,3.2986e-14,35,5,0
0.1,-14.0,3.2986e-14,35,5,0
0.1,-13.8,3.2986e-14,35,5,0
0.1,-13.6,3.2986e-14,35,5,0
0.1,-13.4,3.2986e-14,35,5,0
0.1,-13.2,3.2986e-14,35,5,0
0.1,-13.0,3.2986e-14,35,5,0
0.1,-12.8,3.2986e-14,35,5,0
0.1,-12.6,3.2986e-14,35,5,0
0.1,-12.4,3.2986e-14,35,5,0
0.1,-12.2,3.2986e-14,35,5,0
0.1,-12.0,3.2986e-14,35,5,0
0.1,-11.8,3.2986e-14,35,5,0
0.1,-11.6,3.2986e-14,35,5,0
0.1,-11.4,3.2986e-14,35,5,0
0.1,-11.2,3.2986e-14,35,5,0
0.1,-11.0,3.2986e-14,35,5,0
0.1,-10.8,3.2986e-14,35,5,0
0.1,-10.6,3.2986e-14,35,5,0
0.1,-10.4,3.2986e-14,35,5,0
0.1,-10.2,3.2986e-14,35,5,0
0.1,-10.0,3.2986e-14,35,5,0
0.1,-9.8,3.2986e-14,35,5,0
0.1,-9.6,3.2986e-14,35,5,0
0.1,-9.4,3.2986e-14,35,5,0
0.1,-9.2,3.2986e-14,35,5,0
0.1,-9.0,3.2986e-14,35,5,0
0.1,-8.8,3.2986e-14,35,5,0
0.1,-8.6,3.2986e-14,35,5,0
0.1,-8.4,3.2986e-14,35,5,0
0.1,-8.2,3.2986e-14,35,5,0
0.1,-8.0,3.2986e-14,35,5,0
0.1,-7.8,3.2986e-14,35,5,0
0.1,-7.6,3.2986e-14,35,5,0
0.1,-7.4,3.2986e-14,35,5,0
0.1,-7.2,3.2986e-14,35,5,0
0.1,-7.0,3.2986e-14,35,5,0
0.1,-6.8,3.2986e-14,35,5,0
0.1,-6.6,3.2986e-14,35,5,0
0.1,-6.4,3.2986e-14,35,5,0
0.1,-6.2,3.2986e-14,35,5,0
0.1,-6.0,3.2986e-14,35,5,0
0.1,-5.8,3.2986e-14,35,5,0
0.1,-5.6,3.2986e-14,35,5,0
0.1,-5.4,3.2986e-14,35,5,0
0.1,-5.2,3.2986e-14,35,5,0
0.1,-5.0,3.2986e-14,35,5,0
